<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIF,D,20200724,000000,34.9,34.9,26,31.3,530983,0
GIF,D,20200727,000000,35,40,31.5,40,220342,0
GIF,D,20200728,000000,45,49.5,36.45,36.45,295546,0
GIF,D,20200729,000000,36.4,36.4,30,33.8,74482,0
GIF,D,20200730,000000,34.5,34.5,27,27.6,54361,0
GIF,D,20200804,000000,33,33.55,29.7,31,86802,0
GIF,D,20200805,000000,32.2,32.495,29.5,29.65,25757,0
GIF,D,20200806,000000,30.5,30.5,26.5,27.5,17696,0
GIF,D,20200807,000000,28.4,28.4,24.805,26.3,19132,0
GIF,D,20200810,000000,27.6,27.6,25.8,26,11636,0
GIF,D,20200811,000000,25.85,25.85,22,23.51,20000,0
GIF,D,20200812,000000,23.105,23.105,20.8,22.095,23316,0
GIF,D,20200813,000000,22.095,25.485,22.095,24.5,15921,0
GIF,D,20200814,000000,25.5,26.1,25,25.3,15690,0
GIF,D,20200817,000000,26.3,26.3,23.67,25,7760,0
GIF,D,20200818,000000,26.25,26.25,24.01,24.4,6231,0
GIF,D,20200819,000000,23.5,25.8,23.1,25,6121,0
GIF,D,20200820,000000,25.28,25.9,24.005,24.7,6764,0
GIF,D,20200821,000000,24.7,24.95,24.015,24.5,3433,0
GIF,D,20200824,000000,24.7,26.3,24,24.7,7989,0
GIF,D,20200825,000000,25.4,25.495,24.5,25.49,2507,0
GIF,D,20200826,000000,26.27,26.27,25.6,25.61,4957,0
GIF,D,20200827,000000,25.9,26.3,25.12,25.7,3972,0
GIF,D,20200828,000000,26,26,25,25.7,4934,0
GIF,D,20200831,000000,25.01,25.1,24.5,25.1,4016,0
GIF,D,20200901,000000,25.15,25.205,23.7,24.5,7046,0
GIF,D,20200902,000000,24.8,25.5,24,24.5,6168,0
GIF,D,20200903,000000,25.095,25.095,24.51,24.9,2888,0
GIF,D,20200904,000000,23.7,24.4,23.1,23.15,6951,0
GIF,D,20200907,000000,23.5,24.28,22.295,23.9,4555,0
GIF,D,20200908,000000,23.5,23.8,17.234,22.36,28764,0
GIF,D,20200909,000000,21,21.65,21,21.2,5470,0
GIF,D,20200910,000000,21.2,22.385,21,21.8,9345,0
GIF,D,20200911,000000,22.5,23.4,22.4,22.51,4634,0
GIF,D,20200914,000000,23,23,22.4,22.405,1442,0
GIF,D,20200915,000000,22.405,22.985,21.27,21.5,2582,0
GIF,D,20200916,000000,21.5,22.495,21.3,21.9,2303,0
GIF,D,20200917,000000,22.78,22.78,21.5,22.2,1408,0
GIF,D,20200918,000000,22.7,22.7,21.205,21.55,914,0
GIF,D,20200921,000000,21.55,21.9,20.1,21,3693,0
GIF,D,20200922,000000,21,21,19,20.99,5296,0
GIF,D,20200923,000000,21,21,18.7,19.68,7745,0
GIF,D,20200924,000000,19.9,19.9,18.8,19,2680,0
GIF,D,20200925,000000,19,19,17.5,18.49,4114,0
GIF,D,20200928,000000,18.49,18.916,17.906,18.4,4367,0
GIF,D,20200929,000000,19,20,18.798,19.902,4912,0
GIF,D,20200930,000000,20.44,20.44,19,19.2,3321,0
GIF,D,20201001,000000,19.994,19.994,18.85,19.1,2742,0
GIF,D,20201002,000000,18.9,18.904,17.3,18,8034,0
GIF,D,20201005,000000,18.44,18.948,18.248,18.5,2261,0
GIF,D,20201006,000000,18.8,18.8,18.01,18.01,1657,0
GIF,D,20201007,000000,18.01,18.5,17.998,18,2127,0
GIF,D,20201008,000000,18,18.48,17.7,18.48,3336,0
GIF,D,20201009,000000,18.5,18.5,17.428,17.98,5687,0
GIF,D,20201012,000000,18.4,18.4,16.9,17.15,7770,0
GIF,D,20201013,000000,16.75,17.498,15.082,15.998,20007,0
GIF,D,20201014,000000,15.2,15.7,14.4,15,14616,0
GIF,D,20201015,000000,15,17.4,15,15.85,17588,0
GIF,D,20201016,000000,15.42,17.65,15.42,16.88,9219,0
