<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIFA,D,20200724,000000,28,29,23.2,28.9,680524,0
GIFA,D,20200727,000000,30,37.5,27.52,37.4,341238,0
GIFA,D,20200728,000000,39,42.9,30,30,354563,0
GIFA,D,20200729,000000,30,30,24.84,26.9,107467,0
GIFA,D,20200730,000000,26,28.6,23.6,23.7,74565,0
GIFA,D,20200804,000000,27,27.8,25,25.8,68648,0
GIFA,D,20200805,000000,25.9,26.66,24.3,25.485,23429,0
GIFA,D,20200806,000000,25.455,25.455,23.005,23.96,16189,0
GIFA,D,20200807,000000,23.505,23.895,22,22.5,24732,0
GIFA,D,20200810,000000,22.75,23.35,20.475,21.945,23331,0
GIFA,D,20200811,000000,21.9,21.9,19.714,20,41958,0
GIFA,D,20200812,000000,19.98,20.46,18,19.77,37007,0
GIFA,D,20200813,000000,20.02,21.7,19.998,21.3,23313,0
GIFA,D,20200814,000000,21.5,22.995,21.48,22.35,11065,0
GIFA,D,20200817,000000,22.445,22.445,21.02,21.855,9002,0
GIFA,D,20200818,000000,21.07,22.485,21.07,21.355,5015,0
GIFA,D,20200819,000000,21.01,21.355,20.32,21.35,18035,0
GIFA,D,20200820,000000,21.3,22.44,21.3,21.945,5374,0
GIFA,D,20200821,000000,21.945,21.945,21.5,21.5,3219,0
GIFA,D,20200824,000000,21.5,23,21.5,22,8362,0
GIFA,D,20200825,000000,21.82,22.89,21.52,22,5969,0
GIFA,D,20200826,000000,22,22.99,21.995,22.97,5189,0
GIFA,D,20200827,000000,22.28,23,21.62,22.7,3046,0
GIFA,D,20200828,000000,22.7,23.49,22.02,22.65,4010,0
GIFA,D,20200831,000000,22.63,23,22.02,22.5,1712,0
GIFA,D,20200901,000000,22.5,22.975,21.52,21.75,4724,0
GIFA,D,20200902,000000,21.75,22.43,21.51,22.4,3872,0
GIFA,D,20200903,000000,22.6,22.99,21.725,22.155,3172,0
GIFA,D,20200904,000000,21.84,21.9,21.06,21.2,7509,0
GIFA,D,20200907,000000,21.205,21.785,20.06,20.5,8310,0
GIFA,D,20200908,000000,20.88,20.88,17.2,19.3,25181,0
GIFA,D,20200909,000000,19.1,19.95,18.642,19.3,3759,0
GIFA,D,20200910,000000,19.82,19.94,19.4,19.6,2904,0
GIFA,D,20200911,000000,19.95,20.995,19.948,20.1,2435,0
GIFA,D,20200914,000000,20.1,20.1,19,20,3097,0
GIFA,D,20200915,000000,19.31,20.5,19.03,19.13,2047,0
GIFA,D,20200916,000000,19.79,19.798,19.14,19.4,1303,0
GIFA,D,20200917,000000,19.9,19.9,19.05,19.4,810,0
GIFA,D,20200918,000000,19.7,19.7,19.5,19.5,314,0
GIFA,D,20200921,000000,19.2,19.69,18.812,19.18,3524,0
GIFA,D,20200922,000000,18.802,19,18.4,18.996,6144,0
GIFA,D,20200923,000000,18.81,18.81,16.93,17.252,36085,0
GIFA,D,20200924,000000,17.2,17.888,16.91,17.448,5236,0
GIFA,D,20200925,000000,17.5,17.5,17,17.3,3831,0
GIFA,D,20200928,000000,17.3,17.444,16.502,17.1,6975,0
GIFA,D,20200929,000000,17.4,17.85,17.098,17.85,6409,0
GIFA,D,20200930,000000,17.9,18.5,17.142,17.75,4510,0
GIFA,D,20201001,000000,17.42,18.458,17.42,17.9,4448,0
GIFA,D,20201002,000000,17.43,17.5,16.11,17.14,10413,0
GIFA,D,20201005,000000,17.55,17.878,16.8,17.3,2144,0
GIFA,D,20201006,000000,17.3,17.346,16.798,17.3,2315,0
GIFA,D,20201007,000000,17.2,17.2,16.804,16.9,3045,0
GIFA,D,20201008,000000,16.9,16.9,16.298,16.67,6859,0
GIFA,D,20201009,000000,16.77,16.77,15.11,16.3,18939,0
GIFA,D,20201012,000000,16.5,16.5,15.21,15.75,7937,0
GIFA,D,20201013,000000,15.75,15.75,14.176,15.37,27291,0
GIFA,D,20201014,000000,14.902,15.37,14.202,14.4,18826,0
GIFA,D,20201015,000000,14.4,15.5,14.202,15,10654,0
GIFA,D,20201016,000000,14.2,16.4,14.2,15.91,10269,0
