<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTU_MV,D,20180321,000000,340.83,340.83,340.83,340.83,0,0
NTU_MV,D,20180322,000000,340.83,342.84,334.6,334.6,0,0
NTU_MV,D,20180323,000000,334.9,334.9,311.53,323.41,0,0
NTU_MV,D,20180326,000000,322.66,337.5,322.66,329.41,0,0
NTU_MV,D,20180327,000000,335.2,335.2,330.82,333.72,0,0
NTU_MV,D,20180328,000000,333.72,333.72,324.15,330.82,0,0
NTU_MV,D,20180329,000000,326,326,326,326,0,0
NTU_MV,D,20180403,000000,325.63,326.45,325.63,326.45,0,0
NTU_MV,D,20180404,000000,326.82,331.86,326.82,331.86,0,0
NTU_MV,D,20180405,000000,327.56,332.98,327.56,328.81,0,0
NTU_MV,D,20180406,000000,328.75,332.3,325.63,325.63,0,0
NTU_MV,D,20180409,000000,322.66,328.6,320.43,320.43,0,0
NTU_MV,D,20180410,000000,321.18,330.68,321.18,330.68,0,0
NTU_MV,D,20180411,000000,330.74,331.19,330.74,331.19,0,0
NTU_MV,D,20180412,000000,330.08,330.08,330.08,330.08,0,0
NTU_MV,D,20180413,000000,328.6,330.08,328.6,328.6,0,0
NTU_MV,D,20180416,000000,333.72,333.86,332.3,332.3,0,0
NTU_MV,D,20180418,000000,330.68,336.68,330.6,336.68,0,0
NTU_MV,D,20180420,000000,333.79,334.23,333.79,334.23,0,0
NTU_MV,D,20180424,000000,333.94,334.53,333.79,333.79,0,0
NTU_MV,D,20180426,000000,328.75,329.19,325.63,329.19,0,0
NTU_MV,D,20180427,000000,326.37,326.37,326.37,326.37,0,0
NTU_MV,D,20180430,000000,322.81,331.34,322.81,331.34,0,0
NTU_MV,D,20180504,000000,329.57,329.57,329.57,329.57,0,0
NTU_MV,D,20180507,000000,329.57,329.57,329.57,329.57,0,0
NTU_MV,D,20180508,000000,329.57,329.57,324.15,324.15,0,0
NTU_MV,D,20180509,000000,333.04,337.5,330.08,333.79,0,0
NTU_MV,D,20180510,000000,330.08,330.08,326.37,326.37,0,0
NTU_MV,D,20180511,000000,333.79,333.79,326.37,327.93,0,0
NTU_MV,D,20180514,000000,327.93,328.3,326.37,326.37,0,0
NTU_MV,D,20180515,000000,315.99,333.79,315.99,333.79,0,0
NTU_MV,D,20180516,000000,329.41,349.58,329.41,347.51,0,0
NTU_MV,D,20180517,000000,334.53,334.53,334.23,334.23,0,0
NTU_MV,D,20180518,000000,334.38,344.77,334.38,344.77,0,0
NTU_MV,D,20180521,000000,334.6,342.62,334.6,342.62,0,0
NTU_MV,D,20180522,000000,335.28,340.99,333.79,334.23,0,0
NTU_MV,D,20180523,000000,334.23,334.31,334.23,334.31,0,0
NTU_MV,D,20180524,000000,337.5,342.69,337.5,341.2,0,0
NTU_MV,D,20180525,000000,341.2,347.51,341.2,347.51,0,0
NTU_MV,D,20180528,000000,347.51,350.11,345.29,345.29,0,0
NTU_MV,D,20180529,000000,345.29,345.29,341.57,341.57,0,0
NTU_MV,D,20180530,000000,341.65,341.65,341.65,341.65,0,0
NTU_MV,D,20180601,000000,341.57,341.57,338.98,338.98,0,0
NTU_MV,D,20180604,000000,339.06,348.62,337.5,348.62,0,0
NTU_MV,D,20180605,000000,344.92,344.92,335.65,337.5,0,0
NTU_MV,D,20180606,000000,338.53,338.53,338.53,338.53,0,0
NTU_MV,D,20180607,000000,341.2,345.29,341.2,345.29,0,0
NTU_MV,D,20180611,000000,341.2,345.21,341.2,345.21,0,0
NTU_MV,D,20180613,000000,341.95,341.95,341.95,341.95,0,0
NTU_MV,D,20180614,000000,341.95,341.95,341.95,341.95,0,0
NTU_MV,D,20180615,000000,341.95,345.21,338.24,345.21,0,0
NTU_MV,D,20180619,000000,341.2,341.2,339.06,339.06,0,0
NTU_MV,D,20180626,000000,344.84,351.59,344.84,345.66,0,0
NTU_MV,D,20180627,000000,345.66,354.55,345.66,354.55,0,0
NTU_MV,D,20180628,000000,348.62,354.55,348.62,354.55,0,0
NTU_MV,D,20180629,000000,355.67,356.04,355.67,356.04,0,0
NTU_MV,D,20180702,000000,356.04,362.71,356.04,361.97,0,0
NTU_MV,D,20180703,000000,362.71,378.3,362.71,378.3,0,0
NTU_MV,D,20180704,000000,384.97,384.97,384.97,384.97,0,0
NTU_MV,D,20180705,000000,384.97,384.97,370.88,374.58,0,0
NTU_MV,D,20180706,000000,373.1,373.1,373.1,373.1,0,0
NTU_MV,D,20180709,000000,370.88,370.88,370.88,370.88,0,0
NTU_MV,D,20180710,000000,370.88,370.88,358.93,367.17,0,0
NTU_MV,D,20180711,000000,367.17,367.17,367.17,367.17,0,0
NTU_MV,D,20180712,000000,370.13,384.23,370.13,384.23,0,0
NTU_MV,D,20180713,000000,384.97,398.32,384.97,398.32,0,0
NTU_MV,D,20180716,000000,393.13,407.97,393.13,407.22,0,0
NTU_MV,D,20180717,000000,407.97,415.38,396.83,400.55,0,0
NTU_MV,D,20180718,000000,415.38,415.38,394.61,396.83,0,0
NTU_MV,D,20180719,000000,407.97,407.97,400.62,400.62,0,0
NTU_MV,D,20180720,000000,415.38,415.38,412.41,412.41,0,0
NTU_MV,D,20180723,000000,412.79,415.01,412.79,415.01,0,0
NTU_MV,D,20180724,000000,400.55,415.38,400.55,407.97,0,0
NTU_MV,D,20180725,000000,396.83,396.83,385.71,385.71,0,0
NTU_MV,D,20180726,000000,399.07,399.07,381.48,381.48,0,0
NTU_MV,D,20180727,000000,385.71,385.71,379.04,382,0,0
NTU_MV,D,20180730,000000,370.88,389.42,370.88,389.42,0,0
NTU_MV,D,20180731,000000,389.42,389.42,389.42,389.42,0,0
NTU_MV,D,20180801,000000,389.42,389.42,389.42,389.42,0,0
NTU_MV,D,20180802,000000,389.42,389.42,358.93,370.13,0,0
NTU_MV,D,20180803,000000,360.49,367.17,360.49,367.17,0,0
NTU_MV,D,20180806,000000,363.46,370.88,359.75,370.88,0,0
NTU_MV,D,20180807,000000,370.06,370.8,362.05,362.05,0,0
NTU_MV,D,20180808,000000,370.8,370.88,363.46,370.8,0,0
NTU_MV,D,20180809,000000,370.88,370.88,363.46,370.88,0,0
NTU_MV,D,20180810,000000,371.03,384.23,370.88,370.88,0,0
NTU_MV,D,20180813,000000,364.2,370.88,363.9,363.9,0,0
NTU_MV,D,20180814,000000,374.58,374.58,374.58,374.58,0,0
NTU_MV,D,20180816,000000,374.21,374.21,357.53,373.1,0,0
NTU_MV,D,20180817,000000,370.88,370.88,359.38,364.94,0,0
NTU_MV,D,20180820,000000,370.88,370.88,370.88,370.88,0,0
NTU_MV,D,20180821,000000,370.88,370.88,364.94,364.94,0,0
NTU_MV,D,20180822,000000,357.6,363.46,357.6,363.46,0,0
NTU_MV,D,20180823,000000,363.46,363.46,363.46,363.46,0,0
NTU_MV,D,20180824,000000,363.46,370.88,360.57,370.88,0,0
NTU_MV,D,20180827,000000,370.72,370.72,361.23,361.23,0,0
NTU_MV,D,20180828,000000,362.71,362.71,327.85,342.76,0,0
NTU_MV,D,20180829,000000,342.69,342.69,333.79,339.35,0,0
NTU_MV,D,20180830,000000,339.35,348.62,339.35,348.62,0,0
NTU_MV,D,20180831,000000,341.28,347.88,341.28,342.1,0,0
NTU_MV,D,20180903,000000,342.1,348.62,342.1,348.62,0,0
NTU_MV,D,20180904,000000,348.62,356.04,348.62,348.62,0,0
NTU_MV,D,20180906,000000,348.62,356.04,348.62,356.04,0,0
NTU_MV,D,20180907,000000,350.48,357.53,350.48,357.53,0,0
NTU_MV,D,20180910,000000,350.92,370.88,350.92,370.88,0,0
NTU_MV,D,20180912,000000,370.51,370.51,370.51,370.51,0,0
NTU_MV,D,20180913,000000,363.53,366.2,363.46,366.2,0,0
NTU_MV,D,20180914,000000,366.13,366.13,366.13,366.13,0,0
NTU_MV,D,20180917,000000,370.43,370.43,366.5,366.5,0,0
NTU_MV,D,20180918,000000,367.24,367.24,366.13,366.13,0,0
NTU_MV,D,20180920,000000,365.69,365.69,365.69,365.69,0,0
NTU_MV,D,20180925,000000,350.63,350.85,342.1,350.11,0,0
NTU_MV,D,20180926,000000,350.85,351.59,348.62,351.59,0,0
NTU_MV,D,20180927,000000,350.85,350.85,350.85,350.85,0,0
NTU_MV,D,20181001,000000,350.85,350.85,345.88,345.88,0,0
NTU_MV,D,20181003,000000,346.47,346.47,346.47,346.47,0,0
NTU_MV,D,20181004,000000,346.47,346.47,346.4,346.4,0,0
NTU_MV,D,20181008,000000,358.27,358.27,341.2,341.2,0,0
NTU_MV,D,20181009,000000,340.46,340.46,337.5,337.5,0,0
NTU_MV,D,20181010,000000,333.79,333.79,329.57,333.04,0,0
NTU_MV,D,20181011,000000,327.89,327.89,320.09,320.09,0,0
NTU_MV,D,20181012,000000,320.09,343.51,320.09,327.5,0,0
NTU_MV,D,20181015,000000,343.51,343.51,343.51,343.51,0,0
NTU_MV,D,20181018,000000,343.51,343.51,343.51,343.51,0,0
NTU_MV,D,20181022,000000,343.51,343.51,332.58,332.58,0,0
NTU_MV,D,20181024,000000,332.03,332.03,332.03,332.03,0,0
NTU_MV,D,20181025,000000,331.25,331.25,321.02,321.02,0,0
NTU_MV,D,20181029,000000,322.43,322.43,321.02,322.43,0,0
NTU_MV,D,20181102,000000,321.02,321.02,321.02,321.02,0,0
NTU_MV,D,20181105,000000,320.87,320.87,320.87,320.87,0,0
NTU_MV,D,20181107,000000,321.65,321.65,296.74,299.01,0,0
NTU_MV,D,20181108,000000,299.4,299.4,296.67,296.67,0,0
NTU_MV,D,20181109,000000,292.76,292.76,288.86,288.86,0,0
NTU_MV,D,20181114,000000,290.03,290.03,290.03,290.03,0,0
NTU_MV,D,20181116,000000,288.86,290.03,288.86,288.86,0,0
NTU_MV,D,20181119,000000,288.86,288.86,281.21,281.29,0,0
NTU_MV,D,20181120,000000,281.05,281.05,281.05,281.05,0,0
NTU_MV,D,20181121,000000,281.05,281.05,281.05,281.05,0,0
NTU_MV,D,20181122,000000,275.27,275.27,273.25,273.25,0,0
NTU_MV,D,20181128,000000,265.44,273.25,265.44,273.25,0,0
NTU_MV,D,20181129,000000,264.03,264.03,252.87,256.07,0,0
NTU_MV,D,20181203,000000,265.44,269.34,265.44,269.34,0,0
NTU_MV,D,20181204,000000,257.63,269.34,256.62,269.34,0,0
NTU_MV,D,20181206,000000,261.53,261.53,261.53,261.53,0,0
NTU_MV,D,20181217,000000,269.34,281.99,268.56,268.56,0,0
NTU_MV,D,20181219,000000,259.19,259.19,259.19,259.19,0,0
NTU_MV,D,20181220,000000,259.19,259.19,259.19,259.19,0,0
NTU_MV,D,20181221,000000,259.19,259.19,259.19,259.19,0,0
NTU_MV,D,20181227,000000,259.19,259.19,259.19,259.19,0,0
NTU_MV,D,20190104,000000,270.12,270.12,270.12,270.12,0,0
NTU_MV,D,20190108,000000,271.68,271.68,271.68,271.68,0,0
NTU_MV,D,20190111,000000,271.68,271.68,271.68,271.68,0,0
NTU_MV,D,20190115,000000,271.68,271.68,266.61,266.61,0,0
NTU_MV,D,20190116,000000,258.8,271.68,258.8,271.68,0,0
NTU_MV,D,20190117,000000,271.68,271.68,265.52,265.52,0,0
NTU_MV,D,20190118,000000,274.03,274.03,265.59,265.59,0,0
NTU_MV,D,20190121,000000,274.18,274.18,274.18,274.18,0,0
NTU_MV,D,20190123,000000,274.81,274.81,274.18,274.81,0,0
NTU_MV,D,20190129,000000,275.2,275.2,275.2,275.2,0,0
NTU_MV,D,20190130,000000,275.2,275.2,275.2,275.2,0,0
NTU_MV,D,20190131,000000,277.15,277.15,277.15,277.15,0,0
NTU_MV,D,20190201,000000,277.15,277.15,273.25,273.25,0,0
NTU_MV,D,20190207,000000,277.15,277.15,277.15,277.15,0,0
NTU_MV,D,20190212,000000,268.17,268.17,268.17,268.17,0,0
NTU_MV,D,20190213,000000,268.56,268.56,268.56,268.56,0,0
NTU_MV,D,20190219,000000,268.64,268.64,268.64,268.64,0,0
NTU_MV,D,20190221,000000,265.44,265.44,265.44,265.44,0,0
NTU_MV,D,20190228,000000,277.15,277.15,277.15,277.15,0,0
NTU_MV,D,20190301,000000,277.15,277.15,277.15,277.15,0,0
NTU_MV,D,20190311,000000,267,267,267,267,0,0
NTU_MV,D,20190314,000000,266.22,267,266.22,267,0,0
NTU_MV,D,20190319,000000,277.15,277.15,277.15,277.15,0,0
