<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLS_MV,D,20180628,000000,153.55,153.55,153.55,153.55,0,0
MLS_MV,D,20180629,000000,153.55,156.91,148.51,156.91,0,0
MLS_MV,D,20180702,000000,159.15,159.72,156.91,156.91,0,0
MLS_MV,D,20180703,000000,156.91,156.91,154.11,156.63,0,0
MLS_MV,D,20180704,000000,156.91,156.91,156.91,156.91,0,0
MLS_MV,D,20180705,000000,156.91,156.91,156.91,156.91,0,0
MLS_MV,D,20180706,000000,159.72,159.72,152.99,152.99,0,0
MLS_MV,D,20180709,000000,156.91,156.91,156.91,156.91,0,0
MLS_MV,D,20180710,000000,151.3,156.91,145.7,156.91,0,0
MLS_MV,D,20180711,000000,156.91,156.91,151.3,156.35,0,0
MLS_MV,D,20180712,000000,151.3,156.91,146.82,156.91,0,0
MLS_MV,D,20180713,000000,154.11,162.51,154.11,162.51,0,0
MLS_MV,D,20180716,000000,162.51,162.51,156.91,156.91,0,0
MLS_MV,D,20180717,000000,157.75,159.43,153.27,159.43,0,0
MLS_MV,D,20180718,000000,159.15,159.15,153.55,159.15,0,0
MLS_MV,D,20180720,000000,159.26,159.26,159.26,159.26,0,0
MLS_MV,D,20180723,000000,158.59,159.15,154.11,159.15,0,0
MLS_MV,D,20180724,000000,151.36,162.51,151.36,162.51,0,0
MLS_MV,D,20180725,000000,162.51,165.87,159.15,165.87,0,0
MLS_MV,D,20180726,000000,167.56,167.56,158.03,167,0,0
MLS_MV,D,20180727,000000,167,179.32,162.51,179.32,0,0
MLS_MV,D,20180730,000000,178.2,184.93,178.2,181.01,0,0
MLS_MV,D,20180731,000000,180.44,180.44,163.63,179.32,0,0
MLS_MV,D,20180801,000000,179.32,179.89,179.32,179.89,0,0
MLS_MV,D,20180802,000000,181.01,181.01,181.01,181.01,0,0
MLS_MV,D,20180803,000000,181.57,182.69,179.32,179.32,0,0
MLS_MV,D,20180806,000000,179.32,179.83,178.2,179.83,0,0
MLS_MV,D,20180807,000000,180.67,184.82,180.67,184.82,0,0
MLS_MV,D,20180808,000000,184.82,196.14,179.32,193.34,0,0
MLS_MV,D,20180809,000000,204.55,204.55,193.34,193.89,0,0
MLS_MV,D,20180810,000000,193.34,193.34,191.65,192.5,0,0
MLS_MV,D,20180813,000000,192.5,193.34,187.73,190.36,0,0
MLS_MV,D,20180814,000000,191.1,191.1,190.36,190.53,0,0
MLS_MV,D,20180816,000000,190.53,192.77,190.53,190.53,0,0
MLS_MV,D,20180817,000000,187.73,187.73,187.73,187.73,0,0
MLS_MV,D,20180820,000000,186.05,186.61,186.05,186.61,0,0
MLS_MV,D,20180821,000000,186.61,189.41,186.61,189.41,0,0
MLS_MV,D,20180822,000000,189.41,189.41,171.48,187.73,0,0
MLS_MV,D,20180823,000000,186.61,187.73,186.61,186.61,0,0
MLS_MV,D,20180824,000000,186.61,186.61,186.61,186.61,0,0
MLS_MV,D,20180827,000000,186.61,187.73,186.61,187.73,0,0
MLS_MV,D,20180828,000000,187.17,187.17,187.17,187.17,0,0
MLS_MV,D,20180829,000000,186.61,187.73,179.32,187.73,0,0
MLS_MV,D,20180830,000000,187.17,187.17,180.72,186.05,0,0
MLS_MV,D,20180831,000000,181.29,181.29,169.8,170.36,0,0
MLS_MV,D,20180903,000000,168.12,168.12,145.81,145.81,0,0
MLS_MV,D,20180904,000000,151.03,151.03,123.39,136.73,0,0
MLS_MV,D,20180905,000000,140.1,142.9,133.37,142.34,0,0
MLS_MV,D,20180906,000000,142.34,142.34,135.72,139.54,0,0
MLS_MV,D,20180907,000000,138.98,139.54,133.94,136.18,0,0
MLS_MV,D,20180910,000000,136.18,139.54,134.66,134.66,0,0
MLS_MV,D,20180911,000000,134.49,134.49,133.65,134.49,0,0
MLS_MV,D,20180912,000000,134.49,135.55,134.49,135.55,0,0
MLS_MV,D,20180913,000000,135.55,135.61,135.55,135.61,0,0
MLS_MV,D,20180914,000000,137.07,137.07,134.49,134.49,0,0
MLS_MV,D,20180917,000000,137.07,138.42,137.07,138.42,0,0
MLS_MV,D,20180918,000000,138.42,138.42,133.37,133.37,0,0
MLS_MV,D,20180919,000000,137.86,137.86,137.86,137.86,0,0
MLS_MV,D,20180920,000000,134.49,134.49,133.48,133.48,0,0
MLS_MV,D,20180921,000000,133.48,133.48,131.13,131.13,0,0
MLS_MV,D,20180924,000000,130.29,136.46,130.29,130.29,0,0
MLS_MV,D,20180925,000000,136.46,137.3,131.7,137.3,0,0
MLS_MV,D,20180926,000000,134.49,137.3,131.7,137.3,0,0
MLS_MV,D,20180927,000000,137.3,137.3,137.3,137.3,0,0
MLS_MV,D,20180928,000000,136.73,136.73,136.73,136.73,0,0
MLS_MV,D,20181001,000000,132.25,136.73,132.25,136.73,0,0
MLS_MV,D,20181002,000000,132.25,132.25,132.25,132.25,0,0
MLS_MV,D,20181003,000000,131.7,131.7,131.7,131.7,0,0
MLS_MV,D,20181005,000000,131.7,131.7,128.33,128.33,0,0
MLS_MV,D,20181008,000000,126.25,130.01,126.25,130.01,0,0
MLS_MV,D,20181009,000000,130.01,130.01,130.01,130.01,0,0
MLS_MV,D,20181011,000000,123.85,130.01,123.85,130.01,0,0
MLS_MV,D,20181012,000000,130.01,173,130.01,156.91,0,0
MLS_MV,D,20181015,000000,163.63,171.48,148.79,148.79,0,0
MLS_MV,D,20181016,000000,152.99,152.99,146.82,150.46,0,0
MLS_MV,D,20181017,000000,151.3,156.91,146.82,151.3,0,0
MLS_MV,D,20181018,000000,151.3,154.67,148.51,151.3,0,0
MLS_MV,D,20181019,000000,152.43,161.9,148.51,150.46,0,0
MLS_MV,D,20181022,000000,155.79,155.79,151.03,151.03,0,0
MLS_MV,D,20181023,000000,155,155,149.91,153.49,0,0
MLS_MV,D,20181024,000000,151.81,151.81,142.9,142.9,0,0
MLS_MV,D,20181025,000000,145.7,145.7,142.9,145.7,0,0
MLS_MV,D,20181026,000000,145.15,145.15,145.15,145.15,0,0
MLS_MV,D,20181029,000000,141.22,145.7,140.94,145.7,0,0
MLS_MV,D,20181030,000000,145.7,145.7,145.7,145.7,0,0
MLS_MV,D,20181031,000000,143.46,155.68,143.46,155.68,0,0
MLS_MV,D,20181102,000000,155.68,166.44,155.68,164.2,0,0
MLS_MV,D,20181105,000000,164.2,164.2,149.63,156.63,0,0
MLS_MV,D,20181106,000000,156.35,156.35,151.3,151.3,0,0
MLS_MV,D,20181107,000000,151.3,151.3,151.3,151.3,0,0
MLS_MV,D,20181108,000000,151.87,156.35,149.06,149.06,0,0
MLS_MV,D,20181109,000000,146.82,148.51,146.82,148.51,0,0
MLS_MV,D,20181113,000000,148.51,148.51,145.15,145.15,0,0
MLS_MV,D,20181114,000000,148.51,151.3,145.7,145.7,0,0
MLS_MV,D,20181115,000000,146.27,151.25,145.25,145.25,0,0
MLS_MV,D,20181116,000000,150.75,150.75,145.15,148.51,0,0
