<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPR,D,20200305,000000,60,72,50,72,556,0
SPR,D,20200306,000000,72,85,58.02,76,2186,0
SPR,D,20200309,000000,77,78,65,73,145,0
SPR,D,20200310,000000,60,64,57.5,57.5,218,0
SPR,D,20200311,000000,60,65,52.01,63,178,0
SPR,D,20200312,000000,59,59,49.4,55.9,46,0
SPR,D,20200313,000000,55,55,54,55,59,0
SPR,D,20200316,000000,54.5,62,54.5,61.98,100,0
SPR,D,20200317,000000,60,60,55,60,31,0
SPR,D,20200318,000000,60,60,50,58,105,0
SPR,D,20200319,000000,57.5,59,57,57.5,74,0
SPR,D,20200320,000000,55,55,48,54.9,17,0
SPR,D,20200323,000000,45,48.9,36,48.9,61,0
SPR,D,20200324,000000,49,51,49,51,110,0
SPR,D,20200325,000000,50,53,50,53,32,0
SPR,D,20200327,000000,54.9,55,54.9,55,24,0
SPR,D,20200330,000000,60,60,60,60,3,0
SPR,D,20200331,000000,55,59,55,59,11,0
SPR,D,20200401,000000,50,56,47.2,54,209,0
SPR,D,20200402,000000,50,50,50,50,16,0
SPR,D,20200403,000000,53.9,53.9,48,48,38,0
SPR,D,20200406,000000,53,53.9,53,53.9,170,0
SPR,D,20200407,000000,51.99,52,47,52,89,0
SPR,D,20200408,000000,52,55,52,55,40,0
SPR,D,20200409,000000,55,55,53,53,20,0
SPR,D,20200414,000000,53,53,50,50,44,0
SPR,D,20200415,000000,50,50,49.995,50,6,0
SPR,D,20200416,000000,50.5,53,50,50,67,0
SPR,D,20200417,000000,49,50.5,49,50.5,31,0
SPR,D,20200420,000000,50,52,50,50,75,0
SPR,D,20200421,000000,50,50,50,50,5,0
SPR,D,20200422,000000,51,59,51,59,279,0
SPR,D,20200423,000000,68,73,57,72,515,0
SPR,D,20200424,000000,68,68,62.8,66,228,0
SPR,D,20200427,000000,67,69,67,69,25,0
SPR,D,20200428,000000,68,69,68,69,6,0
SPR,D,20200429,000000,68,68,65,67.5,10,0
SPR,D,20200430,000000,65,66,65,66,81,0
SPR,D,20200504,000000,65,65.01,65,65,29,0
SPR,D,20200505,000000,65,65,65,65,1,0
SPR,D,20200506,000000,64.01,64.01,61,61,56,0
SPR,D,20200507,000000,61,71.9,61,68.5,98,0
SPR,D,20200508,000000,70.8,71,68.5,71,264,0
SPR,D,20200511,000000,70.99,70.99,70,70,77,0
SPR,D,20200512,000000,70.9,75.6,70,70,113,0
SPR,D,20200513,000000,72.95,74.5,70,74.5,179,0
SPR,D,20200514,000000,75,75.6,75,75.6,93,0
SPR,D,20200515,000000,74,74,71,71,7,0
SPR,D,20200518,000000,71.1,76,71,76,174,0
SPR,D,20200519,000000,76,109,76,100.98,544,0
SPR,D,20200520,000000,109.44,131,89,125,897,0
SPR,D,20200521,000000,125,125,121,121,119,0
SPR,D,20200522,000000,120,120,110,110,98,0
SPR,D,20200525,000000,108,113,108,113,137,0
SPR,D,20200526,000000,108,110,108,108,25,0
SPR,D,20200527,000000,105,105,92.5,100,409,0
SPR,D,20200528,000000,99.9,101,97,98.5,187,0
SPR,D,20200529,000000,99,104,99,104,107,0
SPR,D,20200601,000000,105,125,105,119,65,0
SPR,D,20200602,000000,119,119,96,108,144,0
SPR,D,20200603,000000,103,119,103,104,52,0
SPR,D,20200604,000000,116,116,101,114,37,0
SPR,D,20200605,000000,113,114,112,112,38,0
SPR,D,20200608,000000,112,112,109,109,21,0
SPR,D,20200609,000000,109,110,109,110,18,0
SPR,D,20200610,000000,110,112,110,110,26,0
SPR,D,20200612,000000,108,110,107,110,37,0
SPR,D,20200615,000000,125,125,114,115,65,0
SPR,D,20200616,000000,116,119,116,119,18,0
SPR,D,20200617,000000,119,119,116,117,21,0
SPR,D,20200618,000000,114.5,119,114.5,118,226,0
SPR,D,20200622,000000,121,140,121,130,226,0
SPR,D,20200623,000000,135,151,135,151,338,0
SPR,D,20200624,000000,160,190,160,190,158,0
SPR,D,20200625,000000,190,215,171,213,628,0
SPR,D,20200626,000000,215,215,193,213,128,0
SPR,D,20200629,000000,194,200,177,180,166,0
SPR,D,20200630,000000,176,180,175,178,24,0
SPR,D,20200701,000000,185,188,178,188,14,0
SPR,D,20200702,000000,195,198,195,195,15,0
SPR,D,20200703,000000,195,199,195,196,29,0
SPR,D,20200706,000000,198,198,189.98,189.98,13,0
SPR,D,20200707,000000,185,190,179,190,30,0
SPR,D,20200708,000000,190,192,190,192,18,0
SPR,D,20200709,000000,192,194,192,192,22,0
SPR,D,20200710,000000,190,195,190,195,10,0
SPR,D,20200713,000000,198,198,184,184,21,0
SPR,D,20200714,000000,184,184,178,178,107,0
SPR,D,20200715,000000,190,195,182,182,59,0
SPR,D,20200716,000000,188,188,176,178,28,0
SPR,D,20200717,000000,176,177,176,177,72,0
SPR,D,20200720,000000,177,182,177,182,108,0
SPR,D,20200721,000000,183,185,183,185,23,0
SPR,D,20200722,000000,180,180,153,170,84,0
SPR,D,20200723,000000,171,172,167,167,42,0
SPR,D,20200724,000000,167,170,166,166,72,0
SPR,D,20200727,000000,165,165,157,157,154,0
SPR,D,20200728,000000,156,156,151,152,131,0
SPR,D,20200729,000000,150,155,150,155,34,0
SPR,D,20200730,000000,160,160,150,150,48,0
SPR,D,20200731,000000,154,163.2,154,163.2,20,0
SPR,D,20200803,000000,160,160,150,150,69,0
SPR,D,20200804,000000,149,151,149,151,23,0
SPR,D,20200805,000000,152,153,149,149,39,0
SPR,D,20200806,000000,152,153,152,153,84,0
SPR,D,20200807,000000,154,155,154,155,22,0
SPR,D,20200810,000000,158,176,158,160,31,0
SPR,D,20200811,000000,163,163,153,153,122,0
SPR,D,20200813,000000,153,153,151,151,2,0
SPR,D,20200814,000000,157,174.5,155,155,78,0
SPR,D,20200817,000000,155,155,155,155,1,0
SPR,D,20200818,000000,155,155,154,155,47,0
SPR,D,20200819,000000,155.02,180,155.02,166,95,0
SPR,D,20200820,000000,167,167,160,160,33,0
SPR,D,20200824,000000,163,163,161,161,6,0
SPR,D,20200828,000000,160.02,166,160,160,49,0
SPR,D,20200831,000000,160.7,161,159,159,27,0
SPR,D,20200901,000000,158,158,158,158,1,0
SPR,D,20200903,000000,157,157,148.5,149,40,0
SPR,D,20200904,000000,155,155,155,155,2,0
SPR,D,20200907,000000,164,170,147,147,33,0
SPR,D,20200908,000000,150,150,107,118.98,122,0
SPR,D,20200909,000000,120,139,120,139,64,0
SPR,D,20200910,000000,144,170,144,160,125,0
SPR,D,20200914,000000,159,159,159,159,1,0
SPR,D,20200915,000000,160,160,157,157,9,0
SPR,D,20200916,000000,157,157,157,157,7,0
SPR,D,20200917,000000,157,157,157,157,1,0
SPR,D,20200918,000000,157,157,155,155,2,0
SPR,D,20200921,000000,154,154,138,140,18,0
SPR,D,20200922,000000,140,140,140,140,38,0
SPR,D,20200923,000000,138,138,135,135,12,0
SPR,D,20200924,000000,135,135,135,135,19,0
SPR,D,20200925,000000,132.74,132.74,128.5,129,80,0
SPR,D,20200928,000000,129,145,129,142,83,0
SPR,D,20200929,000000,144,144,144,144,1,0
SPR,D,20200930,000000,144,144,137,137,15,0
SPR,D,20201005,000000,137,141,137,141,2,0
SPR,D,20201006,000000,142,145,140,140,44,0
SPR,D,20201007,000000,138,139,137,139,68,0
SPR,D,20201008,000000,139,139,138,138,46,0
SPR,D,20201009,000000,140,148,140,148,46,0
SPR,D,20201012,000000,148,148,148,148,1,0
SPR,D,20201013,000000,146,146,146,146,8,0
SPR,D,20201014,000000,148,148,143,143,3,0
SPR,D,20201015,000000,143,143,141,141,23,0
SPR,D,20201016,000000,141,150,141,150,79,0
